Esquema,Tabla,Total Registros,Filas con mayoría ceros/nulos,Filas con mayoría de datos,Clasificación
cun25524,zhf_urbana,43,43,0,mayoría ceros/nulos/valores pequeños
cun25524,zhf_rural,39,39,0,mayoría ceros/nulos/valores pequeños
cun25530,zhf_urbana,27,27,0,mayoría ceros/nulos/valores pequeños
cun25530,zhf_rural,70,70,0,mayoría ceros/nulos/valores pequeños
cun25535,zhf_urbana,9,9,0,mayoría ceros/nulos/valores pequeños
cun25535,zhf_rural,32,32,0,mayoría ceros/nulos/valores pequeños
cun25580,zhf_urbana,59,59,0,mayoría ceros/nulos/valores pequeños
cun25580,zhf_rural,30,30,0,mayoría ceros/nulos/valores pequeños
cun25592,zhf_urbana,58,0,58,mayoría datos completos
cun25592,zhf_rural,1150,24,1126,mayoría datos completos
cun25594,zhf_urbana,34,34,0,mayoría ceros/nulos/valores pequeños
cun25594,zhf_rural,38,38,0,mayoría ceros/nulos/valores pequeños
cun25596,zhf_urbana,32,1,31,mayoría datos completos
cun25596,zhf_rural,43,43,0,mayoría ceros/nulos/valores pequeños
cun25599,zhf_urbana,48,2,46,mayoría datos completos
cun25599,zhf_rural,74,74,0,mayoría ceros/nulos/valores pequeños
cun25645,zhf_urbana,46,46,0,mayoría ceros/nulos/valores pequeños
cun25645,zhf_rural,145,145,0,mayoría ceros/nulos/valores pequeños
cun25653,zhf_urbana,18,18,0,mayoría ceros/nulos/valores pequeños
cun25653,zhf_rural,68,68,0,mayoría ceros/nulos/valores pequeños
cun25662,zhf_urbana,64,64,0,mayoría ceros/nulos/valores pequeños
cun25662,zhf_rural,48,48,0,mayoría ceros/nulos/valores pequeños
cun25718,zhf_urbana,45,45,0,mayoría ceros/nulos/valores pequeños
cun25718,zhf_rural,75,75,0,mayoría ceros/nulos/valores pequeños
cun25743,zhf_urbana,107,107,0,mayoría ceros/nulos/valores pequeños
cun25743,zhf_rural,196,28,168,mayoría datos completos
cun25769,zhf_urbana,147,1,146,mayoría datos completos
cun25769,zhf_rural,98,98,0,mayoría ceros/nulos/valores pequeños
cun25777,zhf_urbana,30,0,30,mayoría datos completos
cun25777,zhf_rural,311,0,311,mayoría datos completos
cun25779,zhf_urbana,38,38,0,mayoría ceros/nulos/valores pequeños
cun25779,zhf_rural,51,51,0,mayoría ceros/nulos/valores pequeños
cun25781,zhf_urbana,24,0,24,mayoría datos completos
cun25781,zhf_rural,246,0,246,mayoría datos completos
cun25793,zhf_urbana,32,0,32,mayoría datos completos
cun25793,zhf_rural,348,1,347,mayoría datos completos
cun25797,zhf_urbana,42,42,0,mayoría ceros/nulos/valores pequeños
cun25797,zhf_rural,59,59,0,mayoría ceros/nulos/valores pequeños
cun25805,zhf_urbana,40,1,39,mayoría datos completos
cun25805,zhf_rural,83,83,0,mayoría ceros/nulos/valores pequeños
cun25807,zhf_urbana,31,1,30,mayoría datos completos
cun25807,zhf_rural,180,180,0,mayoría ceros/nulos/valores pequeños
cun25815,zhf_urbana,143,1,142,mayoría datos completos
cun25815,zhf_rural,161,161,0,mayoría ceros/nulos/valores pequeños
cun25839,zhf_urbana,55,55,0,mayoría ceros/nulos/valores pequeños
cun25839,zhf_rural,112,112,0,mayoría ceros/nulos/valores pequeños
cun25843,zhf_urbana,48,0,48,mayoría datos completos
cun25843,zhf_rural,78,1,77,mayoría datos completos
cun25845,zhf_urbana,32,32,0,mayoría ceros/nulos/valores pequeños
cun25845,zhf_rural,38,38,0,mayoría ceros/nulos/valores pequeños
cun25862,zhf_urbana,19,0,19,mayoría datos completos
cun25862,zhf_rural,914,1,913,mayoría datos completos
cun25867,zhf_urbana,32,32,0,mayoría ceros/nulos/valores pequeños
cun25867,zhf_rural,13,13,0,mayoría ceros/nulos/valores pequeños
cun25871,zhf_urbana,48,48,0,mayoría ceros/nulos/valores pequeños
cun25871,zhf_rural,29,29,0,mayoría ceros/nulos/valores pequeños
cun25873,zhf_urbana,48,48,0,mayoría ceros/nulos/valores pequeños
cun25873,zhf_rural,83,83,0,mayoría ceros/nulos/valores pequeños
cun25875,zhf_urbana,153,0,153,mayoría datos completos
cun25875,zhf_rural,501,1,500,mayoría datos completos
cun25878,zhf_urbana,67,67,0,mayoría ceros/nulos/valores pequeños
cun25878,zhf_rural,148,0,148,mayoría datos completos
cun25885,zhf_urbana,100,100,0,mayoría ceros/nulos/valores pequeños
cun25885,zhf_rural,56,56,0,mayoría ceros/nulos/valores pequeños
cun25898,zhf_urbana,43,43,0,mayoría ceros/nulos/valores pequeños
cun25898,zhf_rural,30,30,0,mayoría ceros/nulos/valores pequeños
